What is your age (# years)?,What is your gender?,In which country do you currently reside?,What is the highest level of formal education that you have attained or plan to attain within the next 2 years?,Select the title most similar to your current role (or most recent title if retired),What is the size of the company where you are employed?,Approximately how many individuals are responsible for data science workloads at your place of business?,Does your current employer incorporate machine learning methods into their business?,What is your current yearly compensation (approximate $USD)?,Approximately how much money have you spent on machine learning and/or cloud computing products at your work in the past 5 years?,What is the primary tool that you use at work or school to analyze data?,How long have you been writing code to analyze data (at work or at school)?,What programming language would you recommend an aspiring data scientist to learn first?,Have you ever used a TPU (tensor processing unit)?,For how many years have you used machine learning methods?
25-29,Male,United States of America,Master’s degree,Business Analyst,Enterprise,10-14,We are exploring ML methods (and may one day put a model into production),"150,000-199,999","$1000-$9,999",Basic statistical software,5-10 years,Python,Never,2-3 years
35-39,Male,Algeria,Doctoral degree,Research Scientist,Medium,1-2,"We recently started using ML methods (i.e., models in production for less than 2 years)","1,000-1,999",$1-$99,Basic statistical software,< 1 years,Python,Never,< 1 years
30-34,Male,United States of America,Master’s degree,Research Scientist,Small,5-9,"We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999",$100-$999,Local development environments,5-10 years,Python,Used TPU,4-5 years
30-34,Male,United States of America,Master’s degree,Data Scientist,Large,3-4,We use ML methods for generating insights (but do not put working models into production),"150,000-199,999","$1000-$9,999",Local development environments,1-2 years,Python,Never,2-3 years
30-34,Female,United States of America,Master’s degree,Data Scientist,Large,3-4,We use ML methods for generating insights (but do not put working models into production),"100,000-124,999","> $100,000 ($USD)",Other,5-10 years,SQL,Never,2-3 years
25-29,Male,Germany,Master’s degree,Software Engineer,Small,0,No (we do not use ML methods),"40,000-49,999",$100-$999,Local development environments,1-2 years,Python,Never,1-2 years
30-34,Male,Morocco,Master’s degree,Statistician,Enterprise,5-9,No (we do not use ML methods),"20,000-24,999","$1000-$9,999",Advanced statistical software,5-10 years,Python,Never,< 1 years
45-49,Male,Canada,Doctoral degree,Data Scientist,Mid-Large,3-4,"We have well established ML methods (i.e., models in production for more than 2 years)","70,000-79,999","$10,000-$99,999",Local development environments,5-10 years,Python,Used TPU,5-10 years
25-29,Male,Turkey,Master’s degree,Software Engineer,Small,0,No (we do not use ML methods),$0-999,$100-$999,Local development environments,< 1 years,Python,Never,< 1 years
30-34,Male,Portugal,Master’s degree,Data Scientist,Mid-Large,3-4,We are exploring ML methods (and may one day put a model into production),"25,000-29,999",$0 (USD),Local development environments,5-10 years,Python,Never,4-5 years
25-29,Male,Belgium,Master’s degree,Software Engineer,Enterprise,1-2,No (we do not use ML methods),"50,000-59,999","$10,000-$99,999",Other,3-5 years,Python,Never,2-3 years
22-24,Male,United States of America,Master’s degree,Data Scientist,Medium,3-4,"We recently started using ML methods (i.e., models in production for less than 2 years)","70,000-79,999",$1-$99,Local development environments,3-5 years,Python,Never,2-3 years
25-29,Male,Russia,Professional degree,Data Analyst,Medium,5-9,We use ML methods for generating insights (but do not put working models into production),"3,000-3,999",$100-$999,Local development environments,3-5 years,SQL,Never,< 1 years
30-34,Male,United States of America,Master’s degree,Data Scientist,Small,3-4,"We recently started using ML methods (i.e., models in production for less than 2 years)","70,000-79,999",$100-$999,Other,3-5 years,Python,Never,4-5 years
35-39,Male,Ireland,Doctoral degree,Research Scientist,Small,1-2,We are exploring ML methods (and may one day put a model into production),"2,000-2,999",$0 (USD),Local development environments,1-2 years,Python,Never,< 1 years
25-29,Female,France,Master’s degree,Data Scientist,Enterprise,10-14,We use ML methods for generating insights (but do not put working models into production),"7,500-9,999","$1000-$9,999",Local development environments,1-2 years,Python,Never,< 1 years
30-34,Male,United States of America,Master’s degree,Product/Project Manager,Enterprise,20+,We use ML methods for generating insights (but do not put working models into production),"150,000-199,999","$10,000-$99,999",Cloud-based data software & APIs,5-10 years,Python,Never,5-10 years
35-39,Female,Germany,Doctoral degree,Data Scientist,Small,3-4,"We recently started using ML methods (i.e., models in production for less than 2 years)","70,000-79,999","$1000-$9,999",Local development environments,3-5 years,R,Never,2-3 years
22-24,Male,Other,Bachelor’s degree,Data Analyst,Medium,20+,We are exploring ML methods (and may one day put a model into production),"4,000-4,999",$0 (USD),Local development environments,1-2 years,Python,Never,< 1 years
35-39,Male,Spain,Master’s degree,Software Engineer,Large,0,No (we do not use ML methods),"25,000-29,999",$0 (USD),Local development environments,1-2 years,Python,Never,2-3 years
25-29,Male,United States of America,Bachelor’s degree,Data Scientist,Enterprise,20+,"We recently started using ML methods (i.e., models in production for less than 2 years)","125,000-149,999","$1000-$9,999",Cloud-based data software & APIs,1-2 years,R,Never,1-2 years
30-34,Male,India,Bachelor’s degree,Other,Enterprise,20+,I do not know,"15,000-19,999","$1000-$9,999",Local development environments,3-5 years,Python,Never,2-3 years
50-54,Female,United States of America,Bachelor’s degree,Other,Medium,10-14,"We have well established ML methods (i.e., models in production for more than 2 years)",$0-999,"$10,000-$99,999",Local development environments,3-5 years,Python,Never,3-4 years
22-24,Male,United States of America,Bachelor’s degree,Data Engineer,Small,3-4,"We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999","$1000-$9,999",Local development environments,1-2 years,Python,Never,2-3 years
50-54,Male,France,Doctoral degree,Data Scientist,Medium,10-14,"We have well established ML methods (i.e., models in production for more than 2 years)","150,000-199,999","$10,000-$99,999",Local development environments,10-20 years,Python,Never,20+ years
22-24,Male,Nigeria,Bachelor’s degree,Data Scientist,Small,0,We are exploring ML methods (and may one day put a model into production),"3,000-3,999",$100-$999,Local development environments,3-5 years,Python,Never,1-2 years
30-34,Male,India,Master’s degree,Data Scientist,Medium,10-14,We are exploring ML methods (and may one day put a model into production),"1,000-1,999",$1-$99,Local development environments,3-5 years,Python,Never,2-3 years
30-34,Male,Russia,Doctoral degree,Software Engineer,Small,3-4,We are exploring ML methods (and may one day put a model into production),"2,000-2,999",$100-$999,Local development environments,1-2 years,R,Never,< 1 years
22-24,Female,Belgium,Master’s degree,Product/Project Manager,Small,1-2,We are exploring ML methods (and may one day put a model into production),$0-999,$1-$99,Local development environments,1-2 years,Python,Never,1-2 years
35-39,Female,France,Doctoral degree,Data Scientist,Medium,3-4,We use ML methods for generating insights (but do not put working models into production),"60,000-69,999",$0 (USD),Cloud-based data software & APIs,3-5 years,Python,Never,4-5 years
40-44,Male,Switzerland,Master’s degree,Software Engineer,Enterprise,0,No (we do not use ML methods),"125,000-149,999",$0 (USD),Other,10-20 years,Python,Never,1-2 years
50-54,Male,Italy,Master’s degree,Product/Project Manager,Enterprise,3-4,We use ML methods for generating insights (but do not put working models into production),"80,000-89,999",$100-$999,Local development environments,1-2 years,Python,Never,1-2 years
30-34,Male,Switzerland,Doctoral degree,Research Scientist,Small,3-4,"We recently started using ML methods (i.e., models in production for less than 2 years)","100,000-124,999","$1000-$9,999",Local development environments,3-5 years,Python,Never,3-4 years
40-44,Male,Other,Doctoral degree,Research Scientist,Small,3-4,"We have well established ML methods (i.e., models in production for more than 2 years)","100,000-124,999",$100-$999,Local development environments,10-20 years,Python,Used TPU,10-15 years
30-34,Male,United States of America,Doctoral degree,Data Scientist,Small,1-2,"We recently started using ML methods (i.e., models in production for less than 2 years)","200,000-249,999","$1000-$9,999",Local development environments,5-10 years,Python,Used TPU,5-10 years
45-49,Male,France,Master’s degree,Software Engineer,Small,0,We are exploring ML methods (and may one day put a model into production),"50,000-59,999",$0 (USD),Local development environments,3-5 years,R,Never,< 1 years
50-54,Male,Hungary,Bachelor’s degree,Software Engineer,Small,3-4,No (we do not use ML methods),"10,000-14,999","$1000-$9,999",Local development environments,1-2 years,R,Never,1-2 years
22-24,Male,United States of America,Master’s degree,Data Scientist,Mid-Large,1-2,We use ML methods for generating insights (but do not put working models into production),"80,000-89,999","> $100,000 ($USD)",Local development environments,1-2 years,Python,Never,1-2 years
45-49,Male,Brazil,Professional degree,DBA/Database Engineer,Large,5-9,"We recently started using ML methods (i.e., models in production for less than 2 years)","30,000-39,999","$1000-$9,999",Local development environments,< 1 years,Python,Never,< 1 years
35-39,Male,United States of America,Master’s degree,Data Analyst,Enterprise,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","250,000-299,999","> $100,000 ($USD)",Business intelligence software,3-5 years,SQL,Never,4-5 years
40-44,Male,Morocco,Doctoral degree,Data Scientist,Mid-Large,10-14,We are exploring ML methods (and may one day put a model into production),"20,000-24,999","$10,000-$99,999",Cloud-based data software & APIs,5-10 years,R,Never,4-5 years
55-59,Male,France,Master’s degree,Software Engineer,Medium,1-2,We are exploring ML methods (and may one day put a model into production),$0-999,"$1000-$9,999",Local development environments,3-5 years,Python,Never,2-3 years
35-39,Male,United States of America,Doctoral degree,Data Scientist,Enterprise,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999","$1000-$9,999",Local development environments,5-10 years,Python,Never,2-3 years
30-34,Female,Canada,Master’s degree,Data Analyst,Mid-Large,0,No (we do not use ML methods),"70,000-79,999",$0 (USD),Business intelligence software,3-5 years,Python,Never,4-5 years
45-49,Male,United States of America,Bachelor’s degree,Software Engineer,Small,1-2,We are exploring ML methods (and may one day put a model into production),"100,000-124,999",$100-$999,Business intelligence software,20+ years,Python,Never,1-2 years
40-44,Female,United States of America,Doctoral degree,Data Scientist,Large,10-14,"We recently started using ML methods (i.e., models in production for less than 2 years)","90,000-99,999","> $100,000 ($USD)",Advanced statistical software,10-20 years,Python,Never,2-3 years
70+,Male,United States of America,Master’s degree,Software Engineer,Large,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999","> $100,000 ($USD)",Cloud-based data software & APIs,5-10 years,Python,Used TPU,4-5 years
50-54,Male,United States of America,Doctoral degree,Research Scientist,Large,20+,We use ML methods for generating insights (but do not put working models into production),"300,000-500,000",$0 (USD),Local development environments,20+ years,Python,Never,5-10 years
25-29,Male,Italy,Professional degree,Product/Project Manager,Small,10-14,"We have well established ML methods (i.e., models in production for more than 2 years)","50,000-59,999","> $100,000 ($USD)",Advanced statistical software,3-5 years,Python,Used TPU,5-10 years
25-29,Male,New Zealand,Bachelor’s degree,Data Scientist,Small,5-9,"We recently started using ML methods (i.e., models in production for less than 2 years)","50,000-59,999","$10,000-$99,999",Local development environments,3-5 years,R,Never,1-2 years
45-49,Male,United States of America,Doctoral degree,Data Scientist,Enterprise,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","150,000-199,999","> $100,000 ($USD)",Local development environments,10-20 years,Python,Never,10-15 years
